name,started_at,completed_at,percent_complete
samanthaestrada@dataskills4everyone.com,,,0
mr.michaelhartman@dataskills4everyone.com,,,0
Tonya Weeks,,,0
nathaniellawrence@dataskills4everyone.com,,,0
Rachel Lawrence,,,0
Jessica Harris,,,0
crystalyoung@dataskills4everyone.com,,,0
jamesberry@dataskills4everyone.com,,,0
kaylaanderson@dataskills4everyone.com,,,0
Jon Robinson,,,0
laurencortez@dataskills4everyone.com,,,0
Chad Moreno,8/9/2021 17:59,,19
Jose Watson,,,0
karenbowers@dataskills4everyone.com,,,0
tonyacarpenter@dataskills4everyone.com,,,0
michaelferguson@dataskills4everyone.com,8/8/2021 6:07,,0
johngould@dataskills4everyone.com,,,0
samanthamcgrath@dataskills4everyone.com,,,0
Stephanie Powell DDS,,,0
briannathompson@dataskills4everyone.com,,,0
Michael Robinson,,,0
Kelly Mills,,,0
Brett Ward,,,0
Melissa Vincent,,,0
Ruben Mahoney,,,0
chelseadavis@dataskills4everyone.com,,,0
mrs.jennifermartinez@dataskills4everyone.com,,,0
dr.antonioriley@dataskills4everyone.com,,,0
jerryfrost@dataskills4everyone.com,,,0
suzannemiller@dataskills4everyone.com,,,0
scottvaldez@dataskills4everyone.com,,,0
timothymarshall@dataskills4everyone.com,,,0
Kayla Morrison,,,0
Barbara Bartlett,,,0
Sergio Garner,,,0
stephaniehoward@dataskills4everyone.com,,,0
heatherdavis@dataskills4everyone.com,,,0
dr.carlosgaines@dataskills4everyone.com,,,0
melissapalmer@dataskills4everyone.com,,,0
Alison Adams,,,0
hollythomas@dataskills4everyone.com,,,0
Andrew Hicks,,,0
davidfrostmd@dataskills4everyone.com,,,0
Matthew Sanchez,,,0
ashleyeverett@dataskills4everyone.com,,,0
kristyarmstrong@dataskills4everyone.com,,,0
timothymorales@dataskills4everyone.com,,,0
Jasmine Smith,,,0
williamwallace@dataskills4everyone.com,,,0
Patricia Burns,,,0
robertberry@dataskills4everyone.com,,,0
jasonhutchinson@dataskills4everyone.com,,,0
scottherrera@dataskills4everyone.com,,,0
mikeharper@dataskills4everyone.com,,,0
Scott Fleming,,,0
richardroberts@dataskills4everyone.com,,,0
christyholland@dataskills4everyone.com,,,0
James Byrd,,,0
lynnclark@dataskills4everyone.com,,,0
Mary Pratt,,,0
ernestcobb@dataskills4everyone.com,,,0
annashort@dataskills4everyone.com,,,0
jamesgallagher@dataskills4everyone.com,,,0
kevinwilson@dataskills4everyone.com,,,0
aaronbarron@dataskills4everyone.com,,,0
amypearson@dataskills4everyone.com,,,0
helenrodriguez@dataskills4everyone.com,,,0
Stephanie Cochran,,,0
Seth Baxter,,,0
Taylor Schneider,,,0
leahcain@dataskills4everyone.com,,,0
angelamurphy@dataskills4everyone.com,,,0
robertodennis@dataskills4everyone.com,,,0
Andrew Mann,,,0
Laurie Hawkins,,,0
loriingram@dataskills4everyone.com,,,0
Mckenzie Kelly,,,0
Kevin Mcgee,,,0
bobpace@dataskills4everyone.com,,,0
Amber Lee,,,0
Daniel Davis,,,0
daniellegibson@dataskills4everyone.com,,,0
Lauren Hernandez,,,0
Madeline Krueger,,,0
Kevin Cameron,,,0
Melissa Burke,,,0
Thomas Fritz,,,0
brandonbenton@dataskills4everyone.com,,,0
shannondonaldson@dataskills4everyone.com,,,0
billrice@dataskills4everyone.com,,,0
Kristopher Hawkins,,,0
