name,started_at,completed_at,percent_complete
Tonya Weeks,,,0
Rachel Lawrence,,,0
Jessica Harris,,,0
Jon Robinson,,,0
Chad Moreno,,,0
Jose Watson,,,0
Stephanie Powell DDS,,,0
Michael Robinson,,,0
Kelly Mills,,,0
Brett Ward,,,0
Melissa Vincent,,,0
Ruben Mahoney,,,0
Kayla Morrison,,,0
Barbara Bartlett,7/4/2021 11:24,,95
Sergio Garner,,,0
Jasmine Smith,6/27/2021 12:48,8/8/2021 20:41,100
Patricia Burns,7/20/2021 11:10,,43
Scott Fleming,6/28/2021 6:51,,92
James Byrd,7/14/2021 5:48,,83
Mary Pratt,6/27/2021 13:47,,22
Stephanie Cochran,,,0
Seth Baxter,,,0
Taylor Schneider,,,0
Andrew Mann,,,0
Laurie Hawkins,,,0
Mckenzie Kelly,,,0
Kevin Mcgee,7/4/2021 20:22,8/15/2021 4:36,100
Amber Lee,,,0
Daniel Davis,,,0
Lauren Hernandez,,,0
Madeline Krueger,,,0
Kevin Cameron,,,0
Melissa Burke,,,0
Thomas Fritz,6/27/2021 12:28,7/14/2021 14:23,100
Kristopher Hawkins,,,0
Samantha Estrada,,,0
Mr. Michael Hartman,,,0
Nathaniel Lawrence,,,0
Crystal Young,,,0
James Berry,,,0
Kayla Anderson,,,0
Lauren Cortez,7/5/2021 5:21,7/15/2021 11:50,100
Karen Bowers,,,0
Tonya Carpenter,,,0
Michael Ferguson,,,0
John Gould,,,0
Samantha Mcgrath,,,0
Brianna Thompson,,,0
Chelsea Davis,,,0
Mrs. Jennifer Martinez,,,0
Dr. Antonio Riley,,,0
Jerry Frost,,,0
Suzanne Miller,,,0
Scott Valdez,,,0
Timothy Marshall,,,0
Stephanie Howard,,,0
Timothy Morales,,,0
William Wallace,,,0
Robert Berry,7/5/2021 12:43,7/16/2021 11:38,100
Jason Hutchinson,,,0
Scott Herrera,,,0
Mike Harper,,,0
Richard Roberts,,,0
Christy Holland,,,0
Lynn Clark,,,0
Ernest Cobb,,,0
Anna Short,,,0
James Gallagher,,,0
Kevin Wilson,,,0
Aaron Barron,,,0
Amy Pearson,,,0
Helen Rodriguez,,,0
Leah Cain,,,0
Angela Murphy,,,0
Roberto Dennis,,,0
Lori Ingram,,,0
Bob Pace,,,0
Danielle Gibson,,,0
Brandon Benton,7/4/2021 16:19,8/6/2021 13:09,100
Shannon Donaldson,,,0
Bill Rice,,,0
