,name,email,track
0,Samantha Estrada,samanthaestrada@dataskills4everyone.com,Data Science
1,Mr. Michael Hartman,mr.michaelhartman@dataskills4everyone.com,Data Science
2,Tonya Weeks,tonyaweeks@dataskills4everyone.com,Data Science
3,Nathaniel Lawrence,nathaniellawrence@dataskills4everyone.com,Data Science
4,Rachel Lawrence,rachellawrence@dataskills4everyone.com,Data Science
5,Jessica Harris,jessicaharris@dataskills4everyone.com,Data Science
6,Crystal Young,crystalyoung@dataskills4everyone.com,Data Science
7,James Berry,jamesberry@dataskills4everyone.com,Data Science
8,Kayla Anderson,kaylaanderson@dataskills4everyone.com,Data Science
9,Jon Robinson,jonrobinson@dataskills4everyone.com,Data Science
10,Lauren Cortez,laurencortez@dataskills4everyone.com,Data Science
11,Chad Moreno,chadmoreno@dataskills4everyone.com,Data Science
12,Jose Watson,josewatson@dataskills4everyone.com,Data Science
13,Karen Bowers,karenbowers@dataskills4everyone.com,Data Science
14,Tonya Carpenter,tonyacarpenter@dataskills4everyone.com,Data Science
15,Michael Ferguson,michaelferguson@dataskills4everyone.com,Data Science
16,John Gould,johngould@dataskills4everyone.com,Data Science
17,Samantha Mcgrath,samanthamcgrath@dataskills4everyone.com,Data Science
18,Stephanie Powell DDS,stephaniepowelldds@dataskills4everyone.com,Data Science
19,Brianna Thompson,briannathompson@dataskills4everyone.com,Data Science
20,Michael Robinson,michaelrobinson@dataskills4everyone.com,Data Science
21,Kelly Mills,kellymills@dataskills4everyone.com,Data Science
22,Brett Ward,brettward@dataskills4everyone.com,Data Science
23,Melissa Vincent,melissavincent@dataskills4everyone.com,Data Science
24,Ruben Mahoney,rubenmahoney@dataskills4everyone.com,Data Science
25,Chelsea Davis,chelseadavis@dataskills4everyone.com,Data Science
26,Mrs. Jennifer Martinez,mrs.jennifermartinez@dataskills4everyone.com,UI UX
27,Dr. Antonio Riley,dr.antonioriley@dataskills4everyone.com,UI UX
28,Jerry Frost,jerryfrost@dataskills4everyone.com,UI UX
29,Suzanne Miller,suzannemiller@dataskills4everyone.com,UI UX
30,Scott Valdez,scottvaldez@dataskills4everyone.com,UI UX
31,Timothy Marshall,timothymarshall@dataskills4everyone.com,UI UX
32,Kayla Morrison,kaylamorrison@dataskills4everyone.com,UI UX
33,Barbara Bartlett,barbarabartlett@dataskills4everyone.com,UI UX
34,Sergio Garner,sergiogarner@dataskills4everyone.com,UI UX
35,Stephanie Howard,stephaniehoward@dataskills4everyone.com,UI UX
46,Timothy Morales,timothymorales@dataskills4everyone.com,Full Stack
47,Jasmine Smith,jasminesmith@dataskills4everyone.com,Full Stack
48,William Wallace,williamwallace@dataskills4everyone.com,Full Stack
49,Patricia Burns,patriciaburns@dataskills4everyone.com,Full Stack
50,Robert Berry,robertberry@dataskills4everyone.com,Full Stack
51,Jason Hutchinson,jasonhutchinson@dataskills4everyone.com,Full Stack
52,Scott Herrera,scottherrera@dataskills4everyone.com,Full Stack
53,Mike Harper,mikeharper@dataskills4everyone.com,Full Stack
54,Scott Fleming,scottfleming@dataskills4everyone.com,Full Stack
55,Richard Roberts,richardroberts@dataskills4everyone.com,Full Stack
56,Christy Holland,christyholland@dataskills4everyone.com,Full Stack
57,James Byrd,jamesbyrd@dataskills4everyone.com,Back End
58,Lynn Clark,lynnclark@dataskills4everyone.com,Back End
59,Mary Pratt,marypratt@dataskills4everyone.com,Back End
60,Ernest Cobb,ernestcobb@dataskills4everyone.com,Back End
61,Anna Short,annashort@dataskills4everyone.com,Back End
62,James Gallagher,jamesgallagher@dataskills4everyone.com,Back End
63,Kevin Wilson,kevinwilson@dataskills4everyone.com,Back End
64,Aaron Barron,aaronbarron@dataskills4everyone.com,Back End
65,Amy Pearson,amypearson@dataskills4everyone.com,Front End
66,Helen Rodriguez,helenrodriguez@dataskills4everyone.com,Front End
67,Stephanie Cochran,stephaniecochran@dataskills4everyone.com,Front End
68,Seth Baxter,sethbaxter@dataskills4everyone.com,Front End
69,Taylor Schneider,taylorschneider@dataskills4everyone.com,Front End
70,Leah Cain,leahcain@dataskills4everyone.com,Front End
71,Angela Murphy,angelamurphy@dataskills4everyone.com,Front End
72,Roberto Dennis,robertodennis@dataskills4everyone.com,Front End
73,Andrew Mann,andrewmann@dataskills4everyone.com,Front End
74,Laurie Hawkins,lauriehawkins@dataskills4everyone.com,Front End
75,Lori Ingram,loriingram@dataskills4everyone.com,Front End
76,Mckenzie Kelly,mckenziekelly@dataskills4everyone.com,Front End
77,Kevin Mcgee,kevinmcgee@dataskills4everyone.com,Full Stack
78,Bob Pace,bobpace@dataskills4everyone.com,Full Stack
79,Amber Lee,amberlee@dataskills4everyone.com,Full Stack
80,Daniel Davis,danieldavis@dataskills4everyone.com,Full Stack
81,Danielle Gibson,daniellegibson@dataskills4everyone.com,Full Stack
82,Lauren Hernandez,laurenhernandez@dataskills4everyone.com,Full Stack
83,Madeline Krueger,madelinekrueger@dataskills4everyone.com,Full Stack
84,Kevin Cameron,kevincameron@dataskills4everyone.com,Full Stack
85,Melissa Burke,melissaburke@dataskills4everyone.com,Full Stack
86,Thomas Fritz,thomasfritz@dataskills4everyone.com,Full Stack
87,Brandon Benton,brandonbenton@dataskills4everyone.com,Full Stack
88,Shannon Donaldson,shannondonaldson@dataskills4everyone.com,Full Stack
89,Bill Rice,billrice@dataskills4everyone.com,Full Stack
90,Kristopher Hawkins,kristopherhawkins@dataskills4everyone.com,Full Stack
