,name,started_at,completed_at,percent_complete
0,samanthaestrada@dataskills4everyone.com,,,0
1,mr.michaelhartman@dataskills4everyone.com,,,0
2,Tonya Weeks,,,0
3,nathaniellawrence@dataskills4everyone.com,,,0
4,Rachel Lawrence,,,0
5,Jessica Harris,,,0
6,crystalyoung@dataskills4everyone.com,,,0
7,jamesberry@dataskills4everyone.com,,,0
8,kaylaanderson@dataskills4everyone.com,,,0
9,Jon Robinson,,,0
10,laurencortez@dataskills4everyone.com,7/5/2021,7/15/2021,100
11,Chad Moreno,,,0
12,Jose Watson,,,0
13,karenbowers@dataskills4everyone.com,,,0
14,tonyacarpenter@dataskills4everyone.com,,,0
15,michaelferguson@dataskills4everyone.com,,,0
16,johngould@dataskills4everyone.com,,,0
17,samanthamcgrath@dataskills4everyone.com,,,0
18,Stephanie Powell DDS,,,0
19,briannathompson@dataskills4everyone.com,,,0
20,Michael Robinson,,,0
21,Kelly Mills,,,0
22,Brett Ward,,,0
23,Melissa Vincent,,,0
24,Ruben Mahoney,,,0
25,chelseadavis@dataskills4everyone.com,,,0
26,mrs.jennifermartinez@dataskills4everyone.com,,,0
27,dr.antonioriley@dataskills4everyone.com,,,0
28,jerryfrost@dataskills4everyone.com,,,0
29,suzannemiller@dataskills4everyone.com,,,0
30,scottvaldez@dataskills4everyone.com,,,0
31,timothymarshall@dataskills4everyone.com,,,0
32,Kayla Morrison,,,0
33,Barbara Bartlett,7/4/2021,,95
34,Sergio Garner,,,0
35,stephaniehoward@dataskills4everyone.com,,,0
36,heatherdavis@dataskills4everyone.com,,,0
37,dr.carlosgaines@dataskills4everyone.com,,,0
38,melissapalmer@dataskills4everyone.com,,,0
39,Alison Adams,,,0
40,hollythomas@dataskills4everyone.com,,,0
41,Andrew Hicks,7/14/2021,8/10/2021,100
42,davidfrostmd@dataskills4everyone.com,,,0
43,Matthew Sanchez,,,0
44,ashleyeverett@dataskills4everyone.com,,,0
45,kristyarmstrong@dataskills4everyone.com,,,0
46,timothymorales@dataskills4everyone.com,,,0
47,Jasmine Smith,6/27/2021,8/8/2021,100
48,williamwallace@dataskills4everyone.com,,,0
49,Patricia Burns,7/20/2021,,43
50,robertberry@dataskills4everyone.com,7/5/2021,7/16/2021,100
51,jasonhutchinson@dataskills4everyone.com,,,0
52,scottherrera@dataskills4everyone.com,,,0
53,mikeharper@dataskills4everyone.com,,,0
54,Scott Fleming,6/28/2021,,92
55,richardroberts@dataskills4everyone.com,,,0
56,christyholland@dataskills4everyone.com,,,0
57,James Byrd,7/14/2021,,83
58,lynnclark@dataskills4everyone.com,,,0
59,Mary Pratt,6/27/2021,,22
60,ernestcobb@dataskills4everyone.com,,,0
61,annashort@dataskills4everyone.com,,,0
62,jamesgallagher@dataskills4everyone.com,,,0
63,kevinwilson@dataskills4everyone.com,,,0
64,aaronbarron@dataskills4everyone.com,,,0
65,amypearson@dataskills4everyone.com,,,0
66,helenrodriguez@dataskills4everyone.com,,,0
67,Stephanie Cochran,,,0
68,Seth Baxter,,,0
69,Taylor Schneider,,,0
70,leahcain@dataskills4everyone.com,,,0
71,angelamurphy@dataskills4everyone.com,,,0
72,robertodennis@dataskills4everyone.com,,,0
73,Andrew Mann,,,0
74,Laurie Hawkins,,,0
75,loriingram@dataskills4everyone.com,,,0
76,Mckenzie Kelly,,,0
77,Kevin Mcgee,7/4/2021,8/15/2021,100
78,bobpace@dataskills4everyone.com,,,0
79,Amber Lee,,,0
80,Daniel Davis,,,0
81,daniellegibson@dataskills4everyone.com,,,0
82,Lauren Hernandez,,,0
83,Madeline Krueger,,,0
84,Kevin Cameron,,,0
85,Melissa Burke,,,0
86,Thomas Fritz,6/27/2021,7/14/2021,100
87,brandonbenton@dataskills4everyone.com,7/4/2021,8/6/2021,100
88,shannondonaldson@dataskills4everyone.com,,,0
89,billrice@dataskills4everyone.com,,,0
90,Kristopher Hawkins,,,0
